,code,country,United States of America,Canada,Bahamas,Cuba,Haiti,Dominican Republic,Jamaica,Trinidad and Tobago,Barbados,Dominica,Grenada,St. Lucia,St. Vincent and the Grenadines,Antigua & Barbuda,St. Kitts and Nevis,Mexico,Belize,Guatemala,Honduras,El Salvador,Nicaragua,Costa Rica,Panama,Colombia,Venezuela,Guyana,Suriname,Ecuador,Peru,Brazil,Bolivia,Paraguay,Chile,Argentina,Uruguay,United Kingdom,Ireland,Netherlands,Belgium,Luxembourg,France,Monaco,Liechtenstein,Switzerland,Spain,Andorra,Portugal,Bavaria,Germany,German Federal Republic,German Democratic Republic,Baden,Wuerttemburg,Poland,Austria-Hungary,Austria,Hungary,Czechoslovakia,Czech Republic,Slovakia,Italy,San Marino,Malta,Albania,Montenegro,Macedonia,Croatia,Yugoslavia,Bosnia and Herzegovina,Kosovo,Slovenia,Greece,Cyprus,Bulgaria,Moldova,Romania,Russia,Estonia,Latvia,Lithuania,Ukraine,Belarus,Armenia,Georgia,Azerbaijan,Finland,Sweden,Norway,Denmark,Iceland,Cape Verde,Sao Tome and Principe,Guinea-Bissau,Equatorial Guinea,Gambia,Mali,Senegal,Benin,Mauritania,Niger,Ivory Coast,Guinea,Burkina Faso,Liberia,Sierra Leone,Ghana,Togo,Cameroon,Nigeria,Gabon,Central African Republic,Chad,Congo,Democratic Republic of the Congo,Uganda,Kenya,Tanzania,Zanzibar,Burundi,Rwanda,Somalia,Djibouti,Ethiopia,Eritrea,Angola,Mozambique,Zambia,Zimbabwe,Malawi,South Africa,Namibia,Lesotho,Botswana,Swaziland,Madagascar,Comoros,Mauritius,Seychelles,Morocco,Algeria,Tunisia,Libya,Sudan,South Sudan,Iran,Turkey,Iraq,Egypt,Syria,Lebanon,Jordan,Israel,Saudi Arabia,Yemen Arab Republic,Yemen,Yemen People's Republic,Kuwait,Bahrain,Qatar,United Arab Emirates,Oman,Afghanistan,Turkmenistan,Tajikistan,Kyrgyzstan,Uzbekistan,Kazakhstan,China,Mongolia,Taiwan,Korea,North Korea,South Korea,Japan,India,Bhutan,Pakistan,Bangladesh,Myanmar,Sri Lanka,Maldives,Nepal,Thailand,Cambodia,Laos,Vietnam,Republic of Vietnam,Malaysia,Singapore,Brunei,Philippines,Indonesia,East Timor,Australia,Papua New Guinea,New Zealand,Vanuatu,Solomon Islands,Kiribati,Tuvalu,Fiji,Tonga,Nauru,Marshall Islands,Palau,Federated States of Micronesia,Samoa
1,1,United States of America,NA,61223.898,840.18799,1.54,187.56241,621.10999,490.94501,571.5,237.205,12.950253,21.374001,0,30.280741,0,0,8331.1445,70.028999,416.67929,281.87399,367.328,20.674999,409.586,448.271,1389.45,3853.3,39.745972,107.48403,547.91998,520.57001,3837.2729,151.067,76.908699,641.5,833.22998,74.208,12548.8,1840.24,5949.7002,3263.1641,172.8365,9676.4004,NA,NA,2214,3444.79,NA,670.95001,NA,NA,-9,28.33,NA,NA,72.023598,NA,864.5,194.24001,59.439625,NA,NA,5668.5,NA,46.119999,4.9499998,NA,NA,NA,672.72998,NA,NA,NA,341.67001,51.651001,106.15,NA,277.63165,1372.36,NA,NA,NA,NA,NA,NA,NA,NA,735.14001,2492.3,1399.88,1207.29,78.207001,-9,0,0,0,15.18,29.121099,40.987041,18.186302,9.0299997,16.237089,84.373703,26.73,36.248436,8.448,15.094,67.447296,6.7830462,79.885002,405.76099,28.049999,6.4184341,7.48,30.164198,111.35918,4.6199999,72.705208,40.344002,NA,5.2199998,12.904,25.159,4.349514,177.91425,NA,91.410004,25.74,58.591896,89.281998,8.7539997,1158.4,NA,8,20,0.69999999,37.877354,0.22,12.085,2.3153927,430.60999,711.42999,188.98,43.540001,74.236,NA,34.099998,1165.4301,580.03003,1327.63,120.14,116.93,216.871,1788.6,3335.5,67.540489,NA,0.88,702.31848,254.771,64.889999,622,182.2547,8.3599997,NA,NA,NA,NA,NA,4718.2002,0,5524.2998,NA,0,6547.6001,29409.5,1429.7628,-9,705.48999,211.02,18.306961,117.582,0,8.4700003,1311.97,0.11,0,0.67500001,NA,2033.86,3819.3201,79.849998,1293.39,1482.4,NA,5759.02,88.627998,1050.34,0.9992851,2.5610001,NA,NA,20.742968,NA,NA,NA,NA,NA,7.1149998
2,2,Canada,68662.398,NA,18.931999,287.76001,23.758741,26.790001,51.428001,82.330002,38.993999,3.325099,6.5549998,0,6.271852,0,0,235.77893,4.1069999,9.4531002,6.6729999,6.4429998,21.617001,22.378,12.171,116.26,213.39999,3.8980138,1.547339,31.58,56.330002,534.90802,4.697,0.76999998,54.299999,49.529999,7.5419998,2199.7,104.66,432.20001,340.84671,18.053261,971.59998,NA,NA,136.2,136.53,NA,108.92,NA,NA,-9,85.003998,NA,NA,6.2666998,NA,79.699997,13.21,28.105404,NA,NA,575.79999,NA,1.35,0,NA,NA,NA,37.27,NA,NA,NA,38.220001,7.3590002,42.02,NA,120.38877,969.76001,NA,NA,NA,NA,NA,NA,NA,NA,81.57,191.7,271.16,87.690002,4.461,-9,0,0,0,5.1700001,5.7527566,6.4711819,1.0482103,0.31400001,6.557786,11.671806,2.3099999,6.6559906,0.228,0.035,3.5749788,5.9109817,6.8169999,13.651088,10.01,0.031992197,0,11.763922,3.663131,2.97,13.579823,15.242,NA,0.244,7.132,1.649,0.1969379,34.771103,NA,1.1,5.0599999,7.008584,12.585,0.93800002,108,NA,0,0,0,0.83094198,0,0.197,0,140.39,203.39,54.540001,53.547001,0.417,NA,66,126.65,83.709999,57.320999,4.3200002,12.65,1.1701421,80.400002,116.9,3.9600933,NA,0.01,25.076166,6.434,4.0900002,16,4.9347887,0.11,NA,NA,NA,NA,NA,1011.8,-9,429.39999,NA,0.99000001,709.29999,4935.7998,306.37943,-9,55.5,89.5,0.82329178,20.948999,0,0.88,113.38,0,0,0.022,NA,126.76,103.15,0.66000003,44.709999,214.3,NA,523.85999,20.040001,145.03,0.33937985,0,NA,NA,4.365036,NA,NA,NA,NA,NA,0.056000002
3,3,Bahamas,463.10001,23.5,NA,0,0.21367154,0.029999999,4.033,0.081,0.004,6.19E-05,0.006,0.0154,0,0.114,0.0132,3.432699,0.024,0.105,0.007,0,0,0.14399999,2.2449999,0.050000001,1.826,0.007,0.039999999,0.32100001,0.43000001,9.493,0.064999998,0.01,0.123,1.22,0.072999999,15.2,3.71,6.1999998,6.173039,0.32696071,9,NA,NA,6.5,8.1499996,NA,0.37,NA,NA,-9,-9,NA,NA,0,NA,0.477,0,0,NA,NA,9.1999998,NA,0.029999999,-9,NA,NA,NA,0.366,NA,NA,NA,1.6,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0.80000001,0.002,0.92000002,0,-9,-9,-9,-9,-9,0,0,-9,-9,0,4.1110001,-9,-9,1.835,0,0,-9,0,1.567,0,-9,-9,0,0,-9,0,0,NA,-9,-9,0,-9,-9,NA,4.7465,-9,0,0.059,0,0.097999997,NA,-9,-9,-9,-9,-9,0,-9,0,0,0,4.1170001,-9,NA,0,0.5,0.0275,0,0,0,-9,0.092,0,0,NA,-9,0,0,-9,0,0.002617925,0,NA,NA,NA,NA,NA,0,-9,0.001,NA,0.073700003,0.40000001,57.299999,0.011,-9,1.89,0,-9,0,-9,-9,0,-9,-9,0,NA,0.02,0.001,0,0.28,0,NA,1.26,0,1.46,0,0,NA,NA,0,NA,NA,NA,NA,NA,0
4,4,Cuba,0,55.200001,0.13699999,NA,0,0,0.005,0.02,0.204,0,0,-9,0.004074074,-9,-9,2.4063017,0,0,0,0,37.693001,0.005,0.37799999,3.3,4.4000001,2.9310396,0.003921569,0,8.25,3.8610001,0,0,0,1.2,0.15700001,12.5,0.64999998,41.799999,3.0390351,0.16096529,55.299999,NA,NA,8.1000004,87.300003,NA,3.72,NA,NA,-9,190.125,NA,NA,9.0486002,NA,2.0999999,17.459999,90.993996,NA,NA,54.799999,NA,0.02,0,NA,NA,NA,2.26,NA,NA,NA,5.46,0.103,0,NA,21.974918,0,NA,NA,NA,NA,NA,NA,NA,NA,10.27,2.9000001,4.1100001,1.2,0,-9,-9,0.37514555,-9,0,0,0.7125808,0,0,0,0,0,0,0,0,0.051937036,0,0.006,0.005462453,0.01071,0,0,0.019347131,0,-9,-9,-9,NA,0,0.013,0,-9,1.0219256,NA,0,0,0,0.002,-9,0,NA,-9,-9,-9,0,0,0,0,0,0,8.8999996,0,0,NA,0,0,0,29.521999,10.99,0,0,0,1.2,0.49547851,NA,2.1500001,0.020647317,0,-9,0,0,-9,NA,NA,NA,NA,NA,84,-9,0,NA,0,0,132.39999,0.93570346,-9,0,-9,-9,0,-9,-9,0.01,0,-9,5.7010002,NA,8.9799995,0.2,0,0,0,NA,0.34,0,0.02,-9,-9,NA,NA,0,NA,NA,NA,NA,NA,-9
5,5,Haiti,390.60001,9.6999998,0.12899999,0,NA,2.22,0.127,0.02,0.055,0.001139259,0,0,0.011851852,0.021681733,0,0,0,0.27222618,0.034000002,0.373,0,0.32499999,0.015,0.01,4.4000001,0,0,0.001204541,0,0.022,0,0,0,0,0,1.4,0.01,4.3000002,10.92153,0.57846898,26.700001,NA,NA,1.8,3.8399999,NA,0.01,NA,NA,-9,0,NA,NA,0,NA,0.012045407,0,0.19513559,NA,NA,23.1,NA,0,-9,NA,NA,NA,0,NA,NA,NA,0.02,0.002,-9,NA,0,-9,NA,NA,NA,NA,NA,NA,NA,NA,0.25999999,0.1,0.18000001,2,0.006022703,-9,-9,-9,-9,-9,0.003277462,0.000141494,-9,-9,0,0,-9,0,0,-9,0,0,0,0,0,-9,-9,0,0,-9,-9,0,NA,-9,-9,-9,-9,-9,NA,-9,-9,0,-9,-9,0,NA,-9,-9,-9,0,0,0,-9,0,0,0,0,-9,NA,-9,0,0,0.002409081,0,0,0,0.90581459,0,0,NA,-9,0,0,-9,0,-9,-9,NA,NA,NA,NA,NA,0,-9,0,NA,-9,0,2.4000001,0,-9,0,0,-9,0,-9,-9,0,0,-9,0,NA,0,0.073476985,-9,0,0.23006727,NA,0.34999999,0.005,0,-9,-9,NA,NA,-9,NA,NA,NA,NA,NA,-9
6,6,Dominican Republic,1138.6,28.5,0.127,0,6.0795779,NA,0.69400001,1.54,0.49200001,0.29889703,0.99000001,0,0.43925926,0,0,0.001,0.033,0.2721,0.74599999,0.092,0,0.02,0.28799999,0.43000001,2.2,0.24308805,1.6627451,0,0,0,0.001,0,0.004,0.006,0.033,10.4,0,1.8,28.30101,1.498989,6.5,NA,NA,1.8,27.190001,NA,0.74000001,NA,NA,-9,0.36000001,NA,NA,0,NA,0.5,0,0,NA,NA,4.4299998,NA,0,-9,NA,NA,NA,0,NA,NA,NA,0.1,0,0,NA,0,6.204,NA,NA,NA,NA,NA,NA,NA,NA,4.3699999,4.1999998,0.01,0.82999998,0,-9,-9,-9,-9,-9,-9,0,0,-9,-9,0,-9,-9,0,0,0,0,0,0,-9,-9,-9,0.012705578,0,-9,0,-9,NA,-9,-9,-9,-9,-9,NA,0,0,0,0.001,-9,0,NA,-9,0,-9,0,-9,0,-9,7.3000002,1.46,2.25,0,-9,NA,0,0,0,0,0,0,0,0,0,-9,NA,-9,0,0,0,-9,0,0,NA,NA,NA,NA,NA,0,-9,0.02,NA,0,0.69999999,10.9,9.2539482,-9,0,0,0,0,-9,-9,0,0,-9,0,NA,0.43000001,0,0,0.13,0,NA,0.14,0,0,-9,-9,NA,NA,-9,NA,NA,NA,NA,NA,-9
7,7,Jamaica,322.39999,113.4,1.5470001,0.26730001,0.88247299,1.65,NA,16.34,12.89,1.1505407,1.416,1.4377,1.4292593,2.711,1.0813,0.013317471,2.266,1.6027,0.072999999,1.479,0,0.096000001,1.159,0.46000001,0.001,5.0467663,1.4806722,0.001,0,23.232,0.001,0,0,0,0.008,130,0.41999999,44.400002,2.1843059,0.1156938,0.89999998,NA,NA,0.30000001,1.27,NA,0.72000003,NA,NA,-9,0.94400001,NA,NA,1.3211,NA,0.028000001,0,0,NA,NA,2.5,NA,0.079999998,-9,NA,NA,NA,0,NA,NA,NA,0.079999998,0.01,0,NA,0,27.649599,NA,NA,NA,NA,NA,NA,NA,NA,0.37,5.3000002,15.36,0.40000001,0.02,-9,-9,-9,-9,0,0.022757424,0.000193471,-9,0,0,0,0,-9,0,0,1.3735794,0,0,0,0,-9,0,0,0.055,0,0,0,NA,0,0.044,0,0,0,NA,0,0,0.004108648,0.014,0,0,NA,0,0,0,0,-9,0.001,0,0,0.006,0,0,0,NA,0,0.059999999,0,0.001,0,0,0,0.002,0.007,0,NA,0,0,0.002,0,0.009,0.060212273,0,NA,NA,NA,NA,NA,0,0,0,NA,0,0,10.6,0.00792969,-9,0.07,0,0,0,-9,0,0.02,0,0,-9,NA,0,0.001,0.081,0.081,0,NA,0.47999999,0.009,2.8399999,0,-9,NA,NA,0,NA,NA,NA,NA,NA,-9
8,8,Trinidad and Tobago,839.90002,42.099998,0.23999999,0.033,17.697369,3,18.872,NA,41.789001,5.1222725,11.231,0,9.1474075,0,0,0,0.25600001,0.56809998,0.25999999,0.13,2.1700001,1.4960001,3.421,0.050000001,15.4,77.939842,34.360783,2.26,0.07,1.474,0,0,0.23,0.029999999,0.013,64.5,1.0700001,7,20.703421,1.096576,25.299999,NA,NA,0.80000001,7.5100002,NA,0.49000001,NA,NA,-9,0,NA,NA,0,NA,1,0,0,NA,NA,84.300003,NA,0.029999999,0,NA,NA,NA,0,NA,NA,NA,3.1400001,0.01,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.18000001,0.1,8.25,14.51,0.002,-9,-9,0,0,0,0,0.16166693,0,0,0,0,0,0,0.004,0,0,0,0.17200001,0.02,0,0,0,0,0,0,0.01,0,NA,0,0,0,-9,0,NA,0,0,0,0.039000001,0,0.02,NA,0,0,0,0,-9,0,0,0.52999997,0,0.01,0,0,NA,0,0.83999997,0,0,0,0,0,0.02,0,0,NA,0,0,0,0,0,0.007853775,0,NA,NA,NA,NA,NA,3,-9,2.24,NA,0,0,17.799999,5.661799,-9,0.02,0,0,0,0,0,0.01,-9,0,0,NA,1.01,0.01,0,0,0.1,NA,0.70999998,0,0.11,-9,-9,NA,NA,0,NA,NA,NA,NA,NA,0
9,9,Barbados,110.2,17,1.3609999,0,0.18875916,0.002,2.898,12.48,NA,1.8032441,2.9389999,0,3.0814815,0,0.0264,0.054000001,0.086999997,0.382,0.28999999,0,0,0,0.016000001,0.01,0.004,1.2003818,0.17927171,0,0.02,0.002,0,0,0.005,0.001,0,23.299999,0.028000001,0.26300001,0.73126769,0.038732301,1,NA,NA,0.2,0.02,NA,0,NA,NA,-9,0,NA,NA,0,NA,0.004,0,0,NA,NA,0.1,NA,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,NA,0,4.2129998,NA,NA,NA,NA,NA,NA,NA,NA,0.002,0.021,0,0.41,0,-9,-9,0,0,0,0,0.007,0.011,-9,0.01,0.004,0,-9,0,0,0.005,-9,-9,0,-9,-9,-9,0,0,0,0.001,0,NA,-9,-9,0.017000001,0,0,NA,0,0,0,0,0,0,NA,-9,0,-9,0,0,0.033,0,0,0,0.050000001,0,0,NA,0,0,0,0,0,0,-9,0,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,-9,0,NA,0,0,3.9000001,0.008,-9,0,0,0,0,-9,0,0,0,-9,-9,NA,1.926,0.001,-9,2.04,1.274,NA,0.059999999,0,0,-9,0,NA,NA,0.012,NA,NA,NA,NA,NA,0
10,10,Dominica,2.6912942,0.31027037,0.025062593,0,0.14444445,0,4.0029998,1.2961204,0.81099999,NA,0.45899999,0.77476746,0.7411111,0.95290297,0.44699112,0,0.001,0,1.8401514,0,-9,0,0,0,1.1,1.5381235,0.000296296,0.056962963,0.02,0,0,-9,0,0,0,39.099998,0,0.60000002,0,0,0.023208149,NA,NA,0.1,0.02,NA,0,NA,NA,-9,0,NA,NA,0,NA,0,0,0,NA,NA,0.2,NA,0,-9,NA,NA,NA,0,NA,NA,NA,0.01,0,-9,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0.002159259,0,0,0,-9,-9,-9,-9,-9,-9,0,0,-9,-9,0,-9,-9,-9,-9,0,-9,0,0,-9,0,-9,-9,-9,-9,0,0,NA,-9,-9,0,-9,0,NA,-9,0,0,0.18099999,0,0,NA,0,0,0,0,-9,3.15E-05,-9,0,0,-9,0,0,NA,0,0.000487037,0,0,-9,0,0,0,0,-9,NA,0,-9,-9,-9,0,0,-9,NA,NA,NA,NA,NA,0,-9,0,NA,0,0.1,2.5,0,-9,0,0,-9,0.017999999,-9,-9,0,-9,-9,-9,NA,0,0,-9,0,0,NA,0.02,-9,0,-9,-9,NA,NA,0,NA,NA,NA,NA,NA,-9
